Name,Team,ops,WAR
Aaron Judge,New York Yankees,1.145,8.6
Bo Bichette,Toronto Blue Jays,0.84,4.1
Jacob Wilson,Athletics,0.799,3.0
George Springer,Toronto Blue Jays,0.959,4.0
Jeremy Peña,Houston Astros,0.84,3.7
Trea Turner,Philadelphia Phillies,0.812,3.7
Yandy Díaz,Tampa Bay Rays,0.848,2.2
Nico Hoerner,Chicago Cubs,0.739,2.0
Bobby Witt Jr.,Kansas City Royals,0.852,4.5
Freddie Freeman,Los Angeles Dodgers,0.869,2.8
Josh Naylor,Seattle Mariners,0.815,1.8
Vladimir Guerrero Jr.,Toronto Blue Jays,0.848,2.9
Luis Arraez,San Diego Padres,0.719,0.0
Geraldo Perdomo,Arizona Diamondbacks,0.851,5.3
Alec Burleson,St. Louis Cardinals,0.802,1.3
Sal Frelick,Milwaukee Brewers,0.756,1.3
Brice Turang,Milwaukee Brewers,0.794,3.2
Brendan Donovan,St. Louis Cardinals,0.775,2.1
Alec Bohm,Philadelphia Phillies,0.74,1.5
Maikel Garcia,Kansas City Royals,0.8,3.2
Xavier Edwards,Miami Marlins,0.696,1.1
Ketel Marte,Arizona Diamondbacks,0.893,4.2
José Ramírez,Cleveland Guardians,0.863,3.9
Alejandro Kirk,Toronto Blue Jays,0.769,2.8
Shohei Ohtani,Los Angeles Dodgers,1.014,5.7
Ryan O'Hearn,San Diego Padres,0.803,1.4
Hunter Goodman,Colorado Rockies,0.843,4.2
Ernie Clement,Toronto Blue Jays,0.711,1.1
Shea Langeliers,Athletics,0.861,4.0
Tyler Soderstrom,Athletics,0.82,2.4
Carlos Correa,Houston Astros,0.734,1.7
Manny Machado,San Diego Padres,0.795,3.0
Paul Goldschmidt,New York Yankees,0.731,-0.1
Gunnar Henderson,Baltimore Orioles,0.787,3.2
Pete Alonso,New York Mets,0.871,3.1
Matt Olson,Atlanta Braves,0.85,3.1
Cody Bellinger,New York Yankees,0.814,2.3
Steven Kwan,Cleveland Guardians,0.704,0.3
Andy Pages,Los Angeles Dodgers,0.774,2.3
Jackson Chourio,Milwaukee Brewers,0.771,2.0
Gavin Lux,Cincinnati Reds,0.724,-0.2
Fernando Tatis Jr.,San Diego Padres,0.814,2.7
Francisco Lindor,New York Mets,0.812,4.2
Julio Rodríguez,Seattle Mariners,0.798,3.1
Jung Hoo Lee,San Francisco Giants,0.734,1.7
Kyle Tucker,Chicago Cubs,0.841,2.8
Jorge Polanco,Seattle Mariners,0.821,1.0
Jose Altuve,Houston Astros,0.771,2.4
J.P. Crawford,Seattle Mariners,0.722,2.4
Lenyn Sosa,Chicago White Sox,0.727,1.2
Byron Buxton,Minnesota Twins,0.878,3.5
Nolan Schanuel,Los Angeles Angels,0.742,0.6
Junior Caminero,Tampa Bay Rays,0.846,3.7
Vinnie Pasquantino,Kansas City Royals,0.798,1.4
Elly De La Cruz,Cincinnati Reds,0.776,3.1
Christian Yelich,Milwaukee Brewers,0.795,1.1
Juan Soto,New York Mets,0.921,4.9
Trevor Story,Boston Red Sox,0.741,2.3
Xander Bogaerts,San Diego Padres,0.719,1.6
Brandon Nimmo,New York Mets,0.76,1.3
Brent Rooker,Athletics,0.814,1.5
Bryce Harper,Philadelphia Phillies,0.844,2.2
Michael Busch,Chicago Cubs,0.866,2.5
TJ Friedl,Cincinnati Reds,0.742,2.5
William Contreras,Milwaukee Brewers,0.754,3.3
Corbin Carroll,Arizona Diamondbacks,0.884,3.5
Zach McKinstry,Detroit Tigers,0.771,1.9
Riley Greene,Detroit Tigers,0.806,2.0
Mookie Betts,Los Angeles Dodgers,0.732,2.1
Jordan Beck,Colorado Rockies,0.733,0.6
Willson Contreras,St. Louis Cardinals,0.791,1.4
Zach Neto,Los Angeles Angels,0.793,2.6
J.T. Realmuto,Philadelphia Phillies,0.699,1.7
CJ Abrams,Washington Nationals,0.748,2.3
Bryson Stott,Philadelphia Phillies,0.719,1.3
Yainer Diaz,Houston Astros,0.701,1.5
Jarren Duran,Boston Red Sox,0.774,1.7
Heliot Ramos,San Francisco Giants,0.728,0.8
Brandon Lowe,Tampa Bay Rays,0.784,2.1
Caleb Durbin,Milwaukee Brewers,0.721,1.4
James Wood,Washington Nationals,0.825,2.7
Gleyber Torres,Detroit Tigers,0.745,2.3
Ben Rice,New York Yankees,0.836,1.8
Chase Meidroth,Chicago White Sox,0.649,0.7
Masyn Winn,St. Louis Cardinals,0.673,0.9
Rafael Devers,San Francisco Giants,0.851,2.6
Luis García Jr.,Washington Nationals,0.701,0.6
Gavin Sheets,San Diego Padres,0.746,0.7
Josh Jung,Texas Rangers,0.684,0.5
Josh Smith,Texas Rangers,0.701,1.6
Trevor Larnach,Minnesota Twins,0.727,-0.4
Nick Castellanos,Philadelphia Phillies,0.694,-0.2
Eric Wagaman,Miami Marlins,0.674,-1.0
Ceddanne Rafaela,Boston Red Sox,0.709,1.0
Michael Harris II,Atlanta Braves,0.677,0.1
Lourdes Gurriel Jr.,Arizona Diamondbacks,0.713,0.1
Pete Crow-Armstrong,Chicago Cubs,0.768,1.9
Cal Raleigh,Seattle Mariners,0.948,6.9
Teoscar Hernández,Los Angeles Dodgers,0.738,0.4
Otto Lopez,Miami Marlins,0.673,0.9
Jake Cronenworth,San Diego Padres,0.744,1.9
Bryan Reynolds,Pittsburgh Pirates,0.72,0.5
Seiya Suzuki,Chicago Cubs,0.804,1.1
Dansby Swanson,Chicago Cubs,0.717,1.7
Addison Barger,Toronto Blue Jays,0.755,1.4
Ian Happ,Chicago Cubs,0.762,1.6
Jazz Chisholm Jr.,New York Yankees,0.813,2.7
Jackson Holliday,Baltimore Orioles,0.689,0.9
Wyatt Langford,Texas Rangers,0.775,1.5
Ozzie Albies,Atlanta Braves,0.671,0.4
Kyle Schwarber,Philadelphia Phillies,0.928,4.1
Spencer Torkelson,Detroit Tigers,0.789,1.3
Andrew McCutchen,Pittsburgh Pirates,0.7,-0.7
Randy Arozarena,Seattle Mariners,0.76,1.6
Spencer Steer,Cincinnati Reds,0.723,0.0
Christian Walker,Houston Astros,0.718,-0.2
Luis Rengifo,Los Angeles Angels,0.622,-0.5
Josh Bell,Washington Nationals,0.742,-0.1
Salvador Perez,Kansas City Royals,0.73,2.2
Brooks Lee,Minnesota Twins,0.655,0.4
Jo Adell,Los Angeles Angels,0.778,2.1
Ke'Bryan Hayes,Cincinnati Reds,0.596,-0.9
Trent Grisham,New York Yankees,0.812,3.1
Miguel Vargas,Chicago White Sox,0.717,1.3
Kyle Manzardo,Cleveland Guardians,0.768,0.1
Lars Nootbaar,St. Louis Cardinals,0.686,0.0
Lawrence Butler,Athletics,0.71,0.3
Jonathan India,Kansas City Royals,0.669,0.7
Brenton Doyle,Colorado Rockies,0.65,-0.2
Mike Yastrzemski,Kansas City Royals,0.736,0.7
Mike Trout,Los Angeles Angels,0.798,0.9
Marcell Ozuna,Atlanta Braves,0.755,0.5
Matt Chapman,San Francisco Giants,0.77,2.1
Agustín Ramírez,Miami Marlins,0.7,1.6
Joey Ortiz,Milwaukee Brewers,0.593,-0.4
Marcus Semien,Texas Rangers,0.669,0.4
Taylor Ward,Los Angeles Angels,0.792,1.8
Eugenio Suárez,Seattle Mariners,0.824,3.2
Nathaniel Lowe,Boston Red Sox,0.688,-0.7
Adolis García,Texas Rangers,0.665,-0.8
Willy Adames,San Francisco Giants,0.739,2.4
Matt McLain,Cincinnati Reds,0.643,0.0
Ryan McMahon,New York Yankees,0.693,1.0
Anthony Volpe,New York Yankees,0.663,0.5
Oneil Cruz,Pittsburgh Pirates,0.676,0.4
